number,name,form,hundo_cp,hundo_wb_cp,weather0,weather1,raid_tier,type0,type1,shiny_enable
42,Golbat,normal,1129,1412,Cloudy,Windy,1,Poison,Flying,true
43,Oddish,normal,702,877,Sunny/Clear,Cloudy,1,Grass,Poison,true
44,Gloom,normal,960,1200,Sunny/Clear,Cloudy,1,Grass,Poison,true
45,Vileplume,normal,1462,1828,Sunny/Clear,Cloudy,1,Grass,Poison,true
46,Paras,normal,581,727,Rainy,Sunny/Clear,1,Bug,Grass,true
47,Parasect,normal,1062,1328,Rainy,Sunny/Clear,1,Bug,Grass,true
48,Venonat,normal,573,717,Rainy,Cloudy,1,Bug,Poison,true
49,Venomoth,normal,1190,1487,Rainy,Cloudy,1,Bug,Poison,true
50,Diglett,normal,386,483,Sunny/Clear,None,1,Ground,None,true
51,Dugtrio,normal,1082,1353,Sunny/Clear,None,1,Ground,None,true
52,Meowth,normal,427,534,Partly Cloudy,None,1,Normal,None,true
53,Persian,normal,965,1206,Partly Cloudy,None,1,Normal,None,true
54,Psyduck,normal,632,790,Rainy,None,1,Water,None,true
55,Golduck,normal,1400,1750,Rainy,None,1,Water,None,true
56,Mankey,normal,665,832,Cloudy,None,1,Fighting,None,true
57,Primeape,normal,1307,1634,Cloudy,None,1,Fighting,None,true
58,Growlithe,normal,710,888,Sunny/Clear,None,1,Fire,None,true
59,Arcanine,normal,1731,2164,Sunny/Clear,None,1,Fire,None,true
60,Poliwag,normal,473,592,Rainy,None,1,Water,None,true
61,Poliwhirl,normal,811,1013,Rainy,None,1,Water,None,true
62,Poliwrath,normal,1477,1847,Rainy,Cloudy,1,Water,Fighting,true
63,Abra,normal,767,958,Windy,None,1,Psychic,None,true
64,Kadabra,normal,1176,1471,Windy,None,1,Psychic,None,true
65,Alakazam,normal,1747,2184,Windy,None,1,Psychic,None,true
66,Machop,normal,730,913,Cloudy,None,1,Fighting,None,true
67,Machoke,normal,1160,1451,Cloudy,None,1,Fighting,None,true
68,Machamp,normal,1746,2183,Cloudy,None,1,Fighting,None,true
69,Bellsprout,normal,590,738,Sunny/Clear,Cloudy,1,Grass,Poison,true
70,Weepinbell,normal,921,1151,Sunny/Clear,Cloudy,1,Grass,Poison,true
71,Victreebel,normal,1389,1736,Sunny/Clear,Cloudy,1,Grass,Poison,true
72,Tentacool,normal,594,743,Rainy,Cloudy,1,Water,Poison,true
73,Tentacruel,normal,1384,1730,Rainy,Cloudy,1,Water,Poison,true
74,Geodude,normal,739,923,Partly Cloudy,Sunny/Clear,1,Rock,Ground,true
75,Graveler,normal,1084,1355,Partly Cloudy,Sunny/Clear,1,Rock,Ground,true
76,Golem,normal,1685,2106,Partly Cloudy,Sunny/Clear,1,Rock,Ground,true
77,Ponyta,normal,969,1212,Sunny/Clear,None,1,Fire,None,true
78,Rapidash,normal,1406,1757,Sunny/Clear,None,1,Fire,None,true
79,Slowpoke,normal,700,876,Rainy,Windy,1,Water,Psychic,true
80,Slowbro,normal,1454,1817,Rainy,Windy,1,Water,Psychic,true
81,Magnemite,normal,778,973,Rainy,Snow,1,Electric,Steel,true
82,Magneton,normal,1420,1775,Rainy,Snow,1,Electric,Steel,true
83,Farfetchd,normal,924,1156,Partly Cloudy,Windy,1,Normal,Flying,true
84,Doduo,normal,686,857,Partly Cloudy,Windy,1,Normal,Flying,true
85,Dodrio,normal,1387,1734,Partly Cloudy,Windy,1,Normal,Flying,true
86,Seel,normal,555,694,Rainy,None,1,Water,None,true
87,Dewgong,normal,1134,1418,Rainy,Snow,1,Water,Ice,true
88,Grimer,normal,785,981,Cloudy,None,1,Poison,None,true
89,Muk,normal,1575,1969,Cloudy,None,1,Poison,None,true
90,Shellder,normal,617,771,Rainy,None,1,Water,None,true
91,Cloyster,normal,1455,1819,Rainy,Snow,1,Water,Ice,true
92,Gastly,normal,702,878,Fog,Cloudy,1,Ghost,Poison,true
93,Haunter,normal,1121,1402,Fog,Cloudy,1,Ghost,Poison,true
94,Gengar,normal,1644,2055,Fog,Cloudy,1,Ghost,Poison,true
95,Onix,normal,629,787,Partly Cloudy,Sunny/Clear,1,Rock,Ground,true
96,Drowzee,normal,594,743,Windy,None,1,Psychic,None,true
97,Hypno,normal,1194,1493,Windy,None,1,Psychic,None,true
98,Krabby,normal,892,1115,Rainy,None,1,Water,None,true
99,Kingler,normal,1616,2020,Rainy,None,1,Water,None,true
100,Voltorb,normal,577,721,Rainy,None,1,Electric,None,true
101,Electrode,normal,1228,1535,Rainy,None,1,Electric,None,true
102,Exeggcute,normal,671,839,Sunny/Clear,Windy,1,Grass,Psychic,true
103,Exeggutor,normal,1759,2198,Sunny/Clear,Windy,1,Grass,Psychic,true
104,Cubone,normal,582,728,Sunny/Clear,None,1,Ground,None,true
105,Marowak,normal,1048,1311,Sunny/Clear,None,1,Ground,None,true
106,Hitmonlee,normal,1472,1840,Cloudy,None,1,Fighting,None,true
107,Hitmonchan,normal,1332,1665,Cloudy,None,1,Fighting,None,true
108,Lickitung,normal,806,1008,Partly Cloudy,None,1,Normal,None,true
109,Koffing,normal,694,867,Cloudy,None,1,Poison,None,true
110,Weezing,normal,1310,1637,Cloudy,None,1,Poison,None,true
111,Rhyhorn,normal,943,1179,Sunny/Clear,Partly Cloudy,1,Ground,Rock,true
112,Rhydon,normal,1816,2270,Sunny/Clear,Partly Cloudy,1,Ground,Rock,true
113,Chansey,normal,717,896,Partly Cloudy,None,1,Normal,None,true
114,Tangela,normal,1278,1598,Sunny/Clear,None,1,Grass,None,true
115,Kangaskhan,normal,1477,1847,Partly Cloudy,None,1,Normal,None,true
116,Horsea,normal,603,754,Rainy,None,1,Water,None,true
117,Seadra,normal,1196,1495,Rainy,None,1,Water,None,true
118,Goldeen,normal,658,823,Rainy,None,1,Water,None,true
119,Seaking,normal,1235,1544,Rainy,None,1,Water,None,true
122,Mr,mime,1273,1591,Windy,Cloudy,1,Psychic,Fairy,true
123,Scyther,normal,1546,1933,Rainy,Windy,1,Bug,Flying,true
124,Jynx,normal,1460,1825,Snow,Windy,1,Ice,Psychic,true
125,Electabuzz,normal,1333,1667,Rainy,None,1,Electric,None,true
126,Magmar,normal,1367,1710,Sunny/Clear,None,1,Fire,None,true
127,Pinsir,normal,1690,2113,Rainy,None,1,Bug,None,true
128,Tauros,normal,1497,1872,Partly Cloudy,None,1,Normal,None,true
129,Magikarp,normal,157,196,Rainy,None,1,Water,None,true
130,Gyarados,normal,1937,2422,Rainy,Windy,5,Water,Flying,true
131,Lapras,normal,1509,1886,Rainy,Snow,1,Water,Ice,true
132,Ditto,normal,475,594,Partly Cloudy,None,1,Normal,None,true
133,Eevee,normal,612,765,Partly Cloudy,None,1,Normal,None,true
134,Vaporeon,normal,1779,2225,Rainy,None,1,Water,None,true
135,Jolteon,normal,1650,2063,Rainy,None,1,Electric,None,true
136,Flareon,normal,1730,2163,Sunny/Clear,None,1,Fire,None,true
137,Porygon,normal,982,1228,Partly Cloudy,None,1,Normal,None,true
138,Omanyte,normal,882,1103,Partly Cloudy,Rainy,1,Rock,Water,true
140,Kabuto,normal,783,979,Partly Cloudy,Rainy,1,Rock,Water,true
141,Kabutops,normal,1550,1938,Partly Cloudy,Rainy,1,Rock,Water,true
142,Aerodactyl,normal,1590,1988,Partly Cloudy,Windy,1,Rock,Flying,true
143,Snorlax,normal,1843,2304,Partly Cloudy,None,5,Normal,None,true
144,Articuno,normal,1743,2179,Snow,Windy,1,Ice,Flying,true
145,Zapdos,normal,2015,2519,Rainy,Windy,5,Electric,Flying,true
146,Moltres,normal,1980,2475,Sunny/Clear,Windy,5,Fire,Flying,true
147,Dratini,normal,574,717,Windy,None,1,Dragon,None,true
148,Dragonair,normal,1017,1271,Windy,None,1,Dragon,None,true
149,Dragonite,normal,2167,2709,Windy,None,5,Dragon,Flying,true
150,Mewtwo,normal,2387,2984,Windy,None,5,Psychic,None,true
151,Mew,normal,1865,2332,Windy,None,5,Psychic,None,true
152,Chikorita,normal,534,668,Sunny/Clear,None,1,Grass,None,true
153,Bayleef,normal,831,1039,Sunny/Clear,None,1,Grass,None,true
154,Meganium,normal,1377,1721,Sunny/Clear,None,1,Grass,None,true
155,Cyndaquil,normal,560,700,Sunny/Clear,None,1,Fire,None,true
156,Quilava,normal,944,1180,Sunny/Clear,None,1,Fire,None,true
157,Typhlosion,normal,1651,2064,Sunny/Clear,None,1,Fire,None,true
158,Totodile,normal,646,808,Rainy,None,1,Water,None,true
159,Croconaw,normal,984,1230,Rainy,None,1,Water,None,true
160,Feraligatr,normal,1632,2040,Rainy,None,1,Water,None,true
161,Sentret,normal,353,441,Partly Cloudy,None,1,Normal,None,true
162,Furret,normal,1004,1255,Partly Cloudy,None,1,Normal,None,true
163,Hoothoot,normal,387,484,Partly Cloudy,Windy,1,Normal,Flying,true
164,Noctowl,normal,1272,1590,Partly Cloudy,Windy,1,Normal,Flying,true
165,Ledyba,normal,416,520,Rainy,Windy,1,Bug,Flying,true
166,Ledian,normal,769,961,Rainy,Windy,1,Bug,Flying,true
167,Spinarak,normal,466,583,Rainy,Cloudy,1,Bug,Poison,true
168,Ariados,normal,1034,1292,Rainy,Cloudy,1,Bug,Poison,true
169,Crobat,normal,1512,1890,Cloudy,Windy,1,Poison,Flying,true
170,Chinchou,normal,639,799,Rainy,None,1,Water,Electric,true
171,Lanturn,normal,1191,1489,Rainy,None,1,Water,Electric,true
172,Pichu,normal,270,338,Rainy,None,1,Electric,None,true
173,Cleffa,normal,383,479,Cloudy,None,1,Fairy,None,true
174,Igglybuff,normal,306,382,Partly Cloudy,Cloudy,1,Normal,Fairy,true
175,Togepi,normal,375,470,Cloudy,None,1,Fairy,None,true
176,Togetic,normal,982,1228,Cloudy,Windy,1,Fairy,Flying,true
177,Natu,normal,630,787,Windy,None,1,Psychic,Flying,true
178,Xatu,normal,1250,1563,Windy,None,1,Psychic,Flying,true
179,Mareep,normal,566,708,Rainy,None,1,Electric,None,true
180,Flaaffy,normal,869,1086,Rainy,None,1,Electric,None,true
181,Ampharos,normal,1630,2037,Rainy,None,1,Electric,None,true
182,Bellossom,normal,1303,1629,Sunny/Clear,None,1,Grass,None,true
183,Marill,normal,263,329,Rainy,Cloudy,1,Water,Fairy,true
184,Azumarill,normal,907,1134,Rainy,Cloudy,1,Water,Fairy,true
185,Sudowoodo,normal,1227,1534,Partly Cloudy,None,1,Rock,None,true
186,Politoed,normal,1399,1749,Rainy,None,1,Water,None,true
187,Hoppip,normal,342,428,Sunny/Clear,Windy,1,Grass,Flying,true
188,Skiploom,normal,557,697,Sunny/Clear,Windy,1,Grass,Flying,true
189,Jumpluff,normal,935,1168,Sunny/Clear,Windy,1,Grass,Flying,true
190,Aipom,normal,770,963,Partly Cloudy,None,1,Normal,None,true
191,Sunkern,normal,226,282,Sunny/Clear,None,1,Grass,None,true
192,Sunflora,normal,1223,1529,Sunny/Clear,None,1,Grass,None,true
193,Yanma,normal,840,1050,Rainy,Windy,1,Bug,Flying,true
194,Wooper,normal,366,458,Rainy,Sunny/Clear,1,Water,Ground,true
195,Quagsire,normal,1138,1423,Rainy,Sunny/Clear,1,Water,Ground,true
196,Espeon,normal,1811,2264,Windy,None,1,Psychic,None,true
197,Umbreon,normal,1221,1526,Fog,None,1,Dark,None,true
198,Murkrow,normal,892,1116,Fog,Windy,1,Dark,Flying,true
199,Slowking,normal,1454,1817,Rainy,Windy,1,Water,Psychic,true
200,Misdreavus,normal,1100,1376,Fog,None,1,Ghost,None,true
201,Unown,normal,677,846,Windy,None,1,Psychic,None,true
202,Wobbuffet,normal,586,733,Windy,None,1,Psychic,None,true
203,Girafarig,normal,1169,1462,Partly Cloudy,Windy,1,Normal,Psychic,true
204,Pineco,normal,633,791,Rainy,None,1,Bug,None,true
205,Forretress,normal,1304,1630,Rainy,Snow,1,Bug,Steel,true
206,Dunsparce,normal,965,1206,Partly Cloudy,None,1,Normal,None,true
207,Gligar,normal,1061,1326,Sunny/Clear,Windy,1,Ground,Flying,true
208,Steelix,normal,1379,1724,Snow,Sunny/Clear,1,Steel,Ground,true
209,Snubbull,normal,707,884,Cloudy,None,1,Fairy,None,true
210,Granbull,normal,1458,1823,Cloudy,None,1,Fairy,None,true
211,Qwilfish,normal,1220,1526,Rainy,Cloudy,1,Water,Poison,true
212,Scizor,normal,1714,2143,Rainy,Snow,1,Bug,Steel,true
213,Shuckle,normal,231,289,Rainy,Partly Cloudy,1,Bug,Rock,true
214,Heracross,normal,1772,2215,Rainy,Cloudy,1,Bug,Fighting,true
215,Sneasel,normal,1172,1465,Fog,Snow,1,Dark,Ice,true
216,Teddiursa,normal,759,949,Partly Cloudy,None,1,Normal,None,true
217,Ursaring,normal,1682,2103,Partly Cloudy,None,1,Normal,None,true
218,Slugma,normal,511,639,Sunny/Clear,None,1,Fire,None,true
219,Magcargo,normal,1135,1419,Sunny/Clear,Partly Cloudy,1,Fire,Rock,true
220,Swinub,normal,423,529,Snow,Sunny/Clear,1,Ice,Ground,true
221,Piloswine,normal,1340,1675,Snow,Sunny/Clear,1,Ice,Ground,true
222,Corsola,normal,872,1091,Rainy,Partly Cloudy,1,Water,Rock,true
223,Remoraid,normal,521,651,Rainy,None,1,Water,None,true
224,Octillery,normal,1322,1653,Rainy,None,1,Water,None,true
225,Delibird,normal,625,781,Snow,Windy,1,Ice,Flying,true
226,Mantine,normal,1326,1657,Rainy,Windy,1,Water,Flying,true
227,Skarmory,normal,1212,1515,Snow,Windy,1,Steel,Flying,true
228,Houndour,normal,705,881,Fog,Sunny/Clear,1,Dark,Fire,true
229,Houndoom,normal,1505,1882,Fog,Sunny/Clear,1,Dark,Fire,true
230,Kingdra,normal,1509,1887,Rainy,Windy,1,Water,Dragon,true
231,Phanpy,normal,689,862,Sunny/Clear,None,1,Ground,None,true
232,Donphan,normal,1722,2152,Sunny/Clear,None,1,Ground,None,true
233,Porygon2,normal,1549,1936,Partly Cloudy,None,1,Normal,None,true
234,Stantler,normal,1236,1546,Partly Cloudy,None,1,Normal,None,true
235,Smeargle,normal,246,308,Partly Cloudy,None,1,Normal,None,true
236,Tyrogue,normal,281,351,Cloudy,None,1,Fighting,None,true
237,Hitmontop,normal,1232,1540,Cloudy,None,1,Fighting,None,true
238,Smoochum,normal,738,922,Snow,Windy,1,Ice,Psychic,true
239,Elekid,normal,689,861,Rainy,None,1,Electric,None,true
240,Magby,normal,756,945,Sunny/Clear,None,1,Fire,None,true
241,Miltank,normal,1353,1691,Partly Cloudy,None,1,Normal,None,true
242,Blissey,normal,1575,1969,Partly Cloudy,None,1,Normal,None,true
243,Raikou,normal,1972,2466,Rainy,None,5,Electric,None,true
244,Entei,normal,1984,2480,Sunny/Clear,None,5,Fire,None,true
245,Suicune,normal,1704,2130,Rainy,None,1,Water,None,true
246,Larvitar,normal,594,743,Partly Cloudy,Sunny/Clear,1,Rock,Ground,true
247,Pupitar,normal,1009,1261,Partly Cloudy,Sunny/Clear,1,Rock,Ground,true
248,Tyranitar,normal,2191,2739,Partly Cloudy,Fog,5,Rock,Dark,true
249,Lugia,normal,2115,2645,Windy,None,5,Psychic,Flying,true
250,Ho Oh,normal,2207,2759,Sunny/Clear,Windy,5,Fire,Flying,true
251,Celebi,normal,1865,2332,Windy,Sunny/Clear,5,Psychic,Grass,true
252,Treecko,normal,601,752,Sunny/Clear,None,1,Grass,None,true
253,Grovyle,normal,956,1195,Sunny/Clear,None,1,Grass,None,true
254,Sceptile,normal,1575,1969,Sunny/Clear,None,1,Grass,None,true
255,Torchic,normal,624,781,Sunny/Clear,None,1,Fire,None,true
256,Combusken,normal,944,1180,Sunny/Clear,Cloudy,1,Fire,Fighting,true
257,Blaziken,normal,1627,2034,Sunny/Clear,Cloudy,1,Fire,Fighting,true
258,Mudkip,normal,644,805,Rainy,None,1,Water,None,true
259,Marshtomp,normal,1015,1269,Rainy,Sunny/Clear,1,Water,Ground,true
260,Swampert,normal,1699,2124,Rainy,Sunny/Clear,1,Water,Ground,true
261,Poochyena,normal,387,484,Fog,None,1,Dark,None,true
262,Mightyena,normal,1100,1375,Fog,None,1,Dark,None,true
263,Zigzagoon,normal,290,363,Partly Cloudy,None,1,Normal,None,true
264,Linoone,normal,949,1187,Partly Cloudy,None,1,Normal,None,true
265,Wurmple,normal,330,413,Rainy,None,1,Bug,None,true
266,Silcoon,normal,316,395,Rainy,None,1,Bug,None,true
267,Beautifly,normal,1009,1261,Rainy,Windy,1,Bug,Flying,true
268,Cascoon,normal,316,395,Rainy,None,1,Bug,None,true
269,Dustox,normal,699,874,Rainy,Cloudy,1,Bug,Poison,true
270,Lotad,normal,342,427,Rainy,Sunny/Clear,1,Water,Grass,true
271,Lombre,normal,684,855,Rainy,Sunny/Clear,1,Water,Grass,true
272,Ludicolo,normal,1327,1659,Rainy,Sunny/Clear,1,Water,Grass,true
273,Seedot,normal,342,427,Sunny/Clear,None,1,Grass,None,true
274,Nuzleaf,normal,701,876,Sunny/Clear,Fog,1,Grass,Dark,true
275,Shiftry,normal,1333,1666,Sunny/Clear,Fog,1,Grass,Dark,true
276,Taillow,normal,437,546,Partly Cloudy,Windy,1,Normal,Flying,true
277,Swellow,normal,1097,1371,Partly Cloudy,Windy,1,Normal,Flying,true
278,Wingull,normal,437,546,Rainy,Windy,1,Water,Flying,true
279,Pelipper,normal,1215,1519,Rainy,Windy,1,Water,Flying,true
280,Ralts,normal,308,385,Windy,Cloudy,1,Psychic,Fairy,true
281,Kirlia,normal,552,690,Windy,Cloudy,1,Psychic,Fairy,true
282,Gardevoir,normal,1767,2209,Windy,Cloudy,1,Psychic,Fairy,true
283,Surskit,normal,452,565,Rainy,None,1,Bug,Water,true
284,Masquerain,normal,1297,1622,Rainy,Windy,1,Bug,Flying,true
285,Shroomish,normal,463,578,Sunny/Clear,None,1,Grass,None,true
286,Breloom,normal,1502,1877,Sunny/Clear,Cloudy,1,Grass,Fighting,true
287,Slakoth,normal,572,716,Partly Cloudy,None,1,Normal,None,true
288,Vigoroth,normal,1124,1405,Partly Cloudy,None,1,Normal,None,true
289,Slaking,normal,2539,3174,Partly Cloudy,None,5,Normal,None,true
290,Nincada,normal,439,549,Rainy,Sunny/Clear,1,Bug,Ground,true
291,Ninjask,normal,1125,1406,Rainy,Windy,1,Bug,Flying,true
292,Shedinja,normal,130,162,Rainy,Fog,1,Bug,Ghost,true
293,Whismur,normal,383,479,Partly Cloudy,None,1,Normal,None,true
294,Loudred,normal,758,948,Partly Cloudy,None,1,Normal,None,true
295,Exploud,normal,1341,1677,Partly Cloudy,None,1,Normal,None,true
296,Makuhita,normal,467,583,Cloudy,None,1,Fighting,None,true
297,Hariyama,normal,1616,2020,Cloudy,None,1,Fighting,None,true
298,Azurill,normal,208,260,Partly Cloudy,Cloudy,1,Normal,Fairy,true
299,Nosepass,normal,567,709,Partly Cloudy,None,1,Rock,None,true
300,Skitty,normal,422,527,Partly Cloudy,None,1,Normal,None,true
301,Delcatty,normal,854,1068,Partly Cloudy,None,1,Normal,None,true
302,Sableye,normal,843,1054,Fog,None,1,Dark,Ghost,true
303,Mawile,normal,934,1167,Snow,Cloudy,1,Steel,Fairy,true
304,Aron,normal,747,934,Snow,Partly Cloudy,1,Steel,Rock,true
305,Lairon,normal,1174,1468,Snow,Partly Cloudy,1,Steel,Rock,true
306,Aggron,normal,1714,2143,Snow,Partly Cloudy,1,Steel,Rock,true
307,Meditite,normal,396,495,Cloudy,Windy,1,Fighting,Psychic,true
308,Medicham,normal,817,1022,Cloudy,Windy,1,Fighting,Psychic,true
309,Electrike,normal,551,689,Rainy,None,1,Electric,None,true
310,Manectric,normal,1337,1672,Rainy,None,1,Electric,None,true
311,Plusle,normal,1016,1270,Rainy,None,1,Electric,None,true
312,Minun,normal,968,1210,Rainy,None,1,Electric,None,true
313,Volbeat,normal,1012,1265,Rainy,None,1,Bug,None,true
314,Illumise,normal,1012,1265,Rainy,None,1,Bug,None,true
315,Roselia,normal,1068,1335,Sunny/Clear,Cloudy,1,Grass,Poison,true
316,Gulpin,normal,495,618,Cloudy,None,1,Poison,None,true
317,Swalot,normal,1130,1413,Cloudy,None,1,Poison,None,true
318,Carvanha,normal,583,729,Rainy,Fog,1,Water,Dark,true
319,Sharpedo,normal,1246,1558,Rainy,Fog,1,Water,Dark,true
320,Wailmer,normal,838,1048,Rainy,None,1,Water,None,true
321,Wailord,normal,1302,1628,Rainy,None,1,Water,None,true
322,Numel,normal,604,755,Sunny/Clear,None,1,Fire,Ground,true
323,Camerupt,normal,1253,1566,Sunny/Clear,None,1,Fire,Ground,true
324,Torkoal,normal,1196,1495,Sunny/Clear,None,1,Fire,None,true
325,Spoink,normal,762,953,Windy,None,1,Psychic,None,true
326,Grumpig,normal,1354,1692,Windy,None,1,Psychic,None,true
327,Spinda,normal,697,872,Partly Cloudy,None,1,Normal,None,true
328,Trapinch,normal,728,910,Sunny/Clear,None,1,Ground,None,true
329,Vibrava,normal,699,875,Sunny/Clear,Windy,1,Ground,Dragon,true
330,Flygon,normal,1520,1901,Sunny/Clear,Windy,1,Ground,Dragon,true
331,Cacnea,normal,709,887,Sunny/Clear,None,1,Grass,None,true
332,Cacturne,normal,1313,1641,Sunny/Clear,Fog,1,Grass,Dark,true
333,Swablu,normal,470,588,Partly Cloudy,Windy,1,Normal,Flying,true
334,Altaria,normal,1145,1432,Windy,None,1,Dragon,Flying,true
335,Zangoose,normal,1381,1727,Partly Cloudy,None,1,Normal,None,true
336,Seviper,normal,1203,1504,Cloudy,None,1,Poison,None,true
337,Lunatone,normal,1330,1662,Partly Cloudy,Windy,1,Rock,Psychic,true
338,Solrock,normal,1330,1662,Partly Cloudy,Windy,1,Rock,Psychic,true
339,Barboach,normal,468,585,Rainy,Sunny/Clear,1,Water,Ground,true
340,Whiscash,normal,1186,1482,Rainy,Sunny/Clear,1,Water,Ground,true
341,Corphish,normal,703,879,Rainy,None,1,Water,None,true
342,Crawdaunt,normal,1413,1767,Rainy,Fog,1,Water,Dark,true
343,Baltoy,normal,449,562,Sunny/Clear,Windy,1,Ground,Psychic,true
344,Claydol,normal,1126,1408,Sunny/Clear,Windy,1,Ground,Psychic,true
345,Lileep,normal,738,922,Partly Cloudy,Sunny/Clear,1,Rock,Grass,true
346,Cradily,normal,1263,1579,Partly Cloudy,Sunny/Clear,1,Rock,Grass,true
347,Anorith,normal,874,1092,Partly Cloudy,Rainy,1,Rock,Bug,true
348,Armaldo,normal,1627,2035,Partly Cloudy,Rainy,1,Rock,Bug,true
349,Feebas,normal,157,196,Rainy,None,1,Water,None,true
350,Milotic,normal,1717,2147,Rainy,None,1,Water,None,true
351,Castform,normal,932,1165,Partly Cloudy,None,1,Normal,None,true
352,Kecleon,normal,1169,1462,Partly Cloudy,None,1,Normal,None,true
353,Shuppet,normal,581,727,Fog,None,1,Ghost,None,true
354,Banette,normal,1313,1642,Fog,None,1,Ghost,None,true
355,Duskull,normal,403,504,Fog,None,1,Ghost,None,true
356,Dusclops,normal,909,1136,Fog,None,1,Ghost,None,true
357,Tropius,normal,1109,1386,Sunny/Clear,Windy,1,Grass,Flying,true
358,Chimecho,normal,1291,1614,Windy,None,1,Psychic,None,true
359,Absol,normal,1443,1805,Fog,None,1,Dark,None,true
360,Wynaut,normal,305,381,Windy,None,1,Psychic,None,true
361,Snorunt,normal,507,634,Snow,None,1,Ice,None,true
362,Glalie,normal,1203,1504,Snow,None,1,Ice,None,true
363,Spheal,normal,550,687,Snow,Rainy,1,Ice,Water,true
364,Sealeo,normal,979,1225,Snow,Rainy,1,Ice,Water,true
365,Walrein,normal,1557,1947,Snow,Rainy,1,Ice,Water,true
366,Clamperl,normal,726,907,Rainy,None,1,Water,None,true
367,Huntail,normal,1337,1671,Rainy,None,1,Water,None,true
368,Gorebyss,normal,1425,1781,Rainy,None,1,Water,None,true
369,Relicanth,normal,1444,1806,Rainy,Partly Cloudy,1,Water,Rock,true
370,Luvdisc,normal,484,605,Rainy,None,1,Water,None,true
371,Bagon,normal,660,826,Windy,None,1,Dragon,None,true
372,Shelgon,normal,1160,1451,Windy,None,1,Dragon,None,true
373,Salamence,normal,2142,2678,Windy,None,5,Dragon,Flying,true
374,Beldum,normal,558,697,Snow,Windy,1,Steel,Psychic,true
375,Metang,normal,983,1229,Snow,Windy,1,Steel,Psychic,true
376,Metagross,normal,2166,2708,Snow,Windy,5,Steel,Psychic,true
377,Regirock,normal,1784,2230,Partly Cloudy,None,1,Rock,None,true
378,Regice,normal,1784,2230,Snow,None,1,Ice,None,true
379,Registeel,normal,1398,1748,Snow,None,1,Steel,None,true
380,Latias,normal,2006,2507,Windy,None,5,Dragon,Psychic,true
